student_track_id,student_id,track_name,date_enrolled,track_completed,days_for_completion,completion_bucket
6816,275594,"Data Analyst",2022-06-12,0,NULL,NULL
6817,275601,"Data Scientist",2022-06-01,0,NULL,NULL
6818,275601,"Data Analyst",2022-06-01,0,NULL,NULL
6819,275601,"Business Analyst",2022-06-01,0,NULL,NULL
6820,275611,"Data Scientist",2022-06-01,0,NULL,NULL
6821,275619,"Data Analyst",2022-06-01,0,NULL,NULL
6822,275622,"Data Analyst",2022-06-01,0,NULL,NULL
6823,275623,"Data Analyst",2022-06-01,0,NULL,NULL
6824,275629,"Data Scientist",2022-06-24,0,NULL,NULL
6825,275635,"Data Analyst",2022-06-01,0,NULL,NULL
6826,275636,"Data Analyst",2022-06-01,0,NULL,NULL
6827,275637,"Data Scientist",2022-06-01,0,NULL,NULL
6828,275641,"Data Analyst",2022-06-01,0,NULL,NULL
6829,275642,"Data Analyst",2022-06-01,0,NULL,NULL
6830,275644,"Data Scientist",2022-06-01,0,NULL,NULL
6831,275653,"Data Scientist",2022-06-01,0,NULL,NULL
6832,275655,"Data Analyst",2022-06-01,0,NULL,NULL
6833,275656,"Data Analyst",2022-06-01,0,NULL,NULL
6834,275673,"Data Analyst",2022-06-01,0,NULL,NULL
6835,275679,"Data Analyst",2022-06-01,0,NULL,NULL
6836,275683,"Data Analyst",2022-10-14,0,NULL,NULL
6837,275684,"Data Scientist",2022-06-06,0,NULL,NULL
6838,275684,"Data Analyst",2022-09-26,0,NULL,NULL
6839,275684,"Business Analyst",2022-06-01,0,NULL,NULL
6840,275687,"Data Analyst",2022-06-01,0,NULL,NULL
6841,275690,"Data Analyst",2022-06-01,0,NULL,NULL
6842,275691,"Data Scientist",2022-06-01,0,NULL,NULL
6843,275709,"Data Analyst",2022-06-01,0,NULL,NULL
6844,275711,"Data Scientist",2022-06-30,0,NULL,NULL
6845,275713,"Data Analyst",2022-06-01,0,NULL,NULL
6846,275714,"Data Analyst",2022-06-01,0,NULL,NULL
6847,275718,"Data Analyst",2022-06-01,0,NULL,NULL
6848,275723,"Data Scientist",2022-06-01,0,NULL,NULL
6849,275724,"Data Scientist",2022-06-01,0,NULL,NULL
6850,275724,"Data Analyst",2022-06-01,0,NULL,NULL
6851,275724,"Business Analyst",2022-06-01,0,NULL,NULL
6852,275730,"Data Analyst",2022-06-01,0,NULL,NULL
6853,275738,"Data Analyst",2022-06-01,0,NULL,NULL
6854,275741,"Data Analyst",2022-06-16,0,NULL,NULL
6855,275744,"Data Analyst",2022-06-01,0,NULL,NULL
6856,275752,"Data Scientist",2022-06-01,0,NULL,NULL
6857,275766,"Data Analyst",2022-07-10,0,NULL,NULL
6858,275766,"Business Analyst",2022-09-22,0,NULL,NULL
6859,275767,"Data Analyst",2022-06-01,0,NULL,NULL
